,llave_edcn,fk_municipio,fk_indicador,fk_fecha,valor_edcn
542,542,15455.0,232,2018-01-12,58.44
543,543,15442.0,232,2018-01-12,49.01
544,544,15425.0,232,2018-01-12,42.86
545,545,15407.0,232,2018-01-12,89.21
546,546,15403.0,232,2018-01-12,100.0
547,547,15401.0,232,2018-01-12,51.72
548,548,15380.0,232,2018-01-12,79.41
549,549,15377.0,232,2018-01-12,57.14
550,550,15368.0,232,2018-01-12,101.54
551,551,15367.0,232,2018-01-12,61.59
552,552,15362.0,232,2018-01-12,90.63
553,553,15332.0,232,2018-01-12,36.24
554,554,15325.0,232,2018-01-12,53.06
555,555,15322.0,232,2018-01-12,106.52
556,556,15317.0,232,2018-01-12,68.0
557,557,15299.0,232,2018-01-12,71.57
558,558,15296.0,232,2018-01-12,101.18
559,559,15293.0,232,2018-01-12,86.67
560,560,15276.0,232,2018-01-12,46.15
561,561,15272.0,232,2018-01-12,75.9
562,562,15248.0,232,2018-01-12,78.72
563,563,15244.0,232,2018-01-12,75.27
564,564,15238.0,232,2018-01-12,96.61
565,565,15236.0,232,2018-01-12,91.18
566,566,15232.0,232,2018-01-12,55.24
567,567,15226.0,232,2018-01-12,60.61
568,568,15224.0,232,2018-01-12,66.67
569,569,15223.0,232,2018-01-12,108.33
570,570,15218.0,232,2018-01-12,63.27
571,571,15215.0,232,2018-01-12,120.59
572,572,15212.0,232,2018-01-12,82.26
573,573,15204.0,232,2018-01-12,75.72
574,574,15189.0,232,2018-01-12,92.0
575,575,15187.0,232,2018-01-12,28.69
576,576,15185.0,232,2018-01-12,80.23
577,577,15183.0,232,2018-01-12,64.79
578,578,15180.0,232,2018-01-12,60.0
579,579,15176.0,232,2018-01-12,72.74
580,580,15172.0,232,2018-01-12,66.67
581,581,15162.0,232,2018-01-12,73.08
582,582,15135.0,232,2018-01-12,60.0
583,583,15131.0,232,2018-01-12,73.58
584,584,15114.0,232,2018-01-12,70.59
585,585,15109.0,232,2018-01-12,58.65
586,586,15106.0,232,2018-01-12,74.42
587,587,15104.0,232,2018-01-12,52.38
588,588,15097.0,232,2018-01-12,62.24
589,589,15092.0,232,2018-01-12,42.86
590,590,15090.0,232,2018-01-12,38.64
591,591,15087.0,232,2018-01-12,95.5
592,592,15051.0,232,2018-01-12,70.65
593,593,15047.0,232,2018-01-12,82.35
594,594,15022.0,232,2018-01-12,48.28
595,595,15001.0,232,2018-01-12,92.32
596,596,15000.0,232,2018-01-12,81.72
597,597,13894.0,232,2018-01-12,140.98
598,598,13873.0,232,2018-01-12,133.17
599,599,13838.0,232,2018-01-12,128.05
600,600,13836.0,232,2018-01-12,113.67
601,601,13810.0,232,2018-01-12,85.96
602,602,13780.0,232,2018-01-12,181.99
603,603,13760.0,232,2018-01-12,147.22
604,604,13744.0,232,2018-01-12,98.23
605,605,13688.0,232,2018-01-12,88.3
606,606,13683.0,232,2018-01-12,75.59
607,607,13673.0,232,2018-01-12,113.62
608,608,13670.0,232,2018-01-12,116.64
609,609,13667.0,232,2018-01-12,115.16
610,610,13657.0,232,2018-01-12,106.45
611,611,13655.0,232,2018-01-12,63.83
612,612,13654.0,232,2018-01-12,112.77
613,613,13650.0,232,2018-01-12,92.65
614,614,13647.0,232,2018-01-12,81.84
615,615,13620.0,232,2018-01-12,143.8
616,616,13600.0,232,2018-01-12,50.12
617,617,13580.0,232,2018-01-12,69.06
618,618,13549.0,232,2018-01-12,85.69
619,619,13490.0,232,2018-01-12,242.62
620,620,13473.0,232,2018-01-12,84.52
621,621,13468.0,232,2018-01-12,112.99
622,622,13458.0,232,2018-01-12,71.32
623,623,13442.0,232,2018-01-12,103.08
624,624,13440.0,232,2018-01-12,77.78
625,625,13433.0,232,2018-01-12,117.17
626,626,13430.0,232,2018-01-12,108.59
627,627,13300.0,232,2018-01-12,85.4
628,628,13268.0,232,2018-01-12,108.57
