,llave_dmgrfc,fk_municipio,fk_indicador,fk_fecha,valor_dmgrfc
453,453,15212.0,7,2018-01-12,97.0
454,454,15215.0,7,2018-01-12,85.0
455,455,15218.0,7,2018-01-12,79.0
456,456,15226.0,7,2018-01-12,52.0
457,457,15236.0,7,2018-01-12,94.0
458,458,15248.0,7,2018-01-12,99.0
459,459,15276.0,7,2018-01-12,94.0
460,460,15317.0,7,2018-01-12,43.0
461,461,15325.0,7,2018-01-12,87.0
462,462,15362.0,7,2018-01-12,59.0
463,463,15380.0,7,2018-01-12,58.0
464,464,15401.0,7,2018-01-12,37.0
465,465,15403.0,7,2018-01-12,94.0
466,466,15500.0,7,2018-01-12,76.0
467,467,15511.0,7,2018-01-12,71.0
468,468,15518.0,7,2018-01-12,78.0
469,469,15522.0,7,2018-01-12,53.0
470,470,15533.0,7,2018-01-12,92.0
471,471,15550.0,7,2018-01-12,55.0
472,472,15621.0,7,2018-01-12,57.0
473,473,15660.0,7,2018-01-12,48.0
474,474,15673.0,7,2018-01-12,93.0
475,475,15676.0,7,2018-01-12,88.0
476,476,15696.0,7,2018-01-12,90.0
477,477,15720.0,7,2018-01-12,61.0
478,478,15723.0,7,2018-01-12,44.0
479,479,15761.0,7,2018-01-12,65.0
480,480,15774.0,7,2018-01-12,83.0
481,481,15798.0,7,2018-01-12,91.0
482,482,15808.0,7,2018-01-12,97.0
483,483,15832.0,7,2018-01-12,55.0
484,484,15839.0,7,2018-01-12,54.0
485,485,15879.0,7,2018-01-12,79.0
486,486,63111.0,7,2018-01-12,91.0
487,487,50245.0,7,2018-01-12,54.0
488,488,50686.0,7,2018-01-12,37.0
489,489,85015.0,7,2018-01-12,90.0
490,490,85136.0,7,2018-01-12,55.0
491,491,85279.0,7,2018-01-12,57.0
492,492,85315.0,7,2018-01-12,71.0
493,493,97666.0,7,2018-01-12,47.0
494,494,97161.0,7,2018-01-12,69.0
495,495,27745.0,7,2018-01-12,98.0
496,496,25086.0,7,2018-01-12,59.0
497,497,25095.0,7,2018-01-12,64.0
498,498,25299.0,7,2018-01-12,78.0
499,499,25324.0,7,2018-01-12,89.0
500,500,25368.0,7,2018-01-12,73.0
501,501,25436.0,7,2018-01-12,98.0
502,502,25483.0,7,2018-01-12,71.0
503,503,25580.0,7,2018-01-12,85.0
504,504,25807.0,7,2018-01-12,91.0
505,505,25871.0,7,2018-01-12,50.0
506,506,5004.0,7,2018-01-12,96.0
507,507,5501.0,7,2018-01-12,90.0
508,508,68013.0,8,2018-01-12,72.0
509,509,68121.0,8,2018-01-12,74.0
510,510,68132.0,8,2018-01-12,75.0
511,511,68160.0,8,2018-01-12,69.0
512,512,68245.0,8,2018-01-12,88.0
513,513,68264.0,8,2018-01-12,86.0
514,514,68296.0,8,2018-01-12,83.0
515,515,68322.0,8,2018-01-12,92.0
516,516,68344.0,8,2018-01-12,86.0
517,517,68370.0,8,2018-01-12,44.0
518,518,68425.0,8,2018-01-12,64.0
519,519,68522.0,8,2018-01-12,44.0
520,520,68524.0,8,2018-01-12,80.0
521,521,68682.0,8,2018-01-12,61.0
522,522,68686.0,8,2018-01-12,87.0
523,523,68705.0,8,2018-01-12,91.0
524,524,68867.0,8,2018-01-12,69.0
525,525,17446.0,8,2018-01-12,90.0
526,526,15276.0,8,2018-01-12,97.0
527,527,15317.0,8,2018-01-12,47.0
528,528,15325.0,8,2018-01-12,98.0
529,529,15362.0,8,2018-01-12,48.0
530,530,15380.0,8,2018-01-12,78.0
531,531,15401.0,8,2018-01-12,40.0
532,532,15500.0,8,2018-01-12,85.0
533,533,15511.0,8,2018-01-12,81.0
534,534,15518.0,8,2018-01-12,72.0
535,535,15522.0,8,2018-01-12,58.0
536,536,15533.0,8,2018-01-12,93.0
537,537,15550.0,8,2018-01-12,60.0
538,538,15621.0,8,2018-01-12,62.0
539,539,15660.0,8,2018-01-12,51.0
540,540,15673.0,8,2018-01-12,92.0
541,541,15676.0,8,2018-01-12,90.0
542,542,15696.0,8,2018-01-12,90.0
543,543,15720.0,8,2018-01-12,68.0
544,544,15723.0,8,2018-01-12,32.0
