,llave_salubridad,fk_municipio,fk_indicador,fk_fecha,valor_salubridad
357,357,18247.0,262,2018-01-12,78.35
358,358,18256.0,262,2018-01-12,83.81
359,359,18410.0,262,2018-01-12,51.81
360,360,18460.0,262,2018-01-12,63.12
361,361,18479.0,262,2018-01-12,76.6
362,362,18592.0,262,2018-01-12,43.11
363,363,18610.0,262,2018-01-12,72.4
364,364,18753.0,262,2018-01-12,44.73
365,365,18756.0,262,2018-01-12,25.84
366,366,18785.0,262,2018-01-12,53.09
367,367,18860.0,262,2018-01-12,92.59
368,368,19000.0,262,2018-01-12,87.74
369,369,19001.0,262,2018-01-12,97.77
370,370,19022.0,262,2018-01-12,83.74
371,371,19050.0,262,2018-01-12,90.98
372,372,19075.0,262,2018-01-12,93.75
373,373,19100.0,262,2018-01-12,91.47
374,374,19110.0,262,2018-01-12,87.65
375,375,19130.0,262,2018-01-12,90.7
376,376,19137.0,262,2018-01-12,92.47
377,377,19142.0,262,2018-01-12,92.03
378,378,19212.0,262,2018-01-12,91.5
379,379,19256.0,262,2018-01-12,88.34
380,380,19290.0,262,2018-01-12,96.65
381,381,19300.0,262,2018-01-12,96.91
382,382,19318.0,262,2018-01-12,33.51
383,383,19355.0,262,2018-01-12,91.59
384,384,19364.0,262,2018-01-12,77.53
385,385,19392.0,262,2018-01-12,86.31
386,386,19397.0,262,2018-01-12,96.56
387,387,19418.0,262,2018-01-12,49.75
388,388,19450.0,262,2018-01-12,93.23
389,389,19455.0,262,2018-01-12,94.01
390,390,19473.0,262,2018-01-12,79.55
391,391,19513.0,262,2018-01-12,98.09
392,392,19517.0,262,2018-01-12,75.51
393,393,19532.0,262,2018-01-12,87.88
394,394,19533.0,262,2018-01-12,36.38
395,395,19548.0,262,2018-01-12,94.57
396,396,19573.0,262,2018-01-12,99.54
397,397,19585.0,262,2018-01-12,84.89
398,398,19622.0,262,2018-01-12,96.33
399,399,19693.0,262,2018-01-12,93.36
400,400,19698.0,262,2018-01-12,96.97
401,401,19701.0,262,2018-01-12,85.14
402,402,19743.0,262,2018-01-12,89.59
403,403,19760.0,262,2018-01-12,91.58
404,404,19780.0,262,2018-01-12,90.15
405,405,19785.0,262,2018-01-12,91.33
406,406,19807.0,262,2018-01-12,95.74
407,407,19845.0,262,2018-01-12,98.43
408,408,19809.0,262,2018-01-12,55.31
409,409,19821.0,262,2018-01-12,96.36
410,410,19824.0,262,2018-01-12,79.97
411,411,20000.0,262,2018-01-12,79.14
412,412,20001.0,262,2018-01-12,70.05
413,413,20011.0,262,2018-01-12,59.61
414,414,20013.0,262,2018-01-12,67.9
415,415,20032.0,262,2018-01-12,88.36
416,416,20045.0,262,2018-01-12,37.29
417,417,20060.0,262,2018-01-12,74.07
418,418,20175.0,262,2018-01-12,89.48
419,419,20178.0,262,2018-01-12,89.73
420,420,20228.0,262,2018-01-12,83.66
421,421,20238.0,262,2018-01-12,84.65
422,422,20250.0,262,2018-01-12,98.61
423,423,20295.0,262,2018-01-12,89.74
424,424,20310.0,262,2018-01-12,90.83
425,425,20383.0,262,2018-01-12,94.55
426,426,20400.0,262,2018-01-12,95.19
427,427,20443.0,262,2018-01-12,37.26
428,428,20517.0,262,2018-01-12,73.83
429,429,20550.0,262,2018-01-12,89.75
430,430,20570.0,262,2018-01-12,18.04
431,431,20614.0,262,2018-01-12,98.41
432,432,20621.0,262,2018-01-12,73.87
433,433,20710.0,262,2018-01-12,94.3
434,434,20750.0,262,2018-01-12,83.88
435,435,20770.0,262,2018-01-12,88.15
436,436,20787.0,262,2018-01-12,97.78
437,437,23000.0,262,2018-01-12,92.67
438,438,23001.0,262,2018-01-12,95.59
439,439,23068.0,262,2018-01-12,80.88
440,440,23079.0,262,2018-01-12,97.84
441,441,23090.0,262,2018-01-12,97.58
442,442,23162.0,262,2018-01-12,97.89
443,443,23168.0,262,2018-01-12,94.36
444,444,23182.0,262,2018-01-12,97.26
445,445,23189.0,262,2018-01-12,96.12
446,446,23300.0,262,2018-01-12,98.59
447,447,23350.0,262,2018-01-12,97.12
448,448,23417.0,262,2018-01-12,99.19
449,449,23419.0,262,2018-01-12,99.38
450,450,23464.0,262,2018-01-12,95.47
451,451,23466.0,262,2018-01-12,85.02
452,452,23500.0,262,2018-01-12,97.04
453,453,23555.0,262,2018-01-12,94.27
454,454,23570.0,262,2018-01-12,96.62
455,455,23574.0,262,2018-01-12,97.29
456,456,23580.0,262,2018-01-12,85.91
457,457,23586.0,262,2018-01-12,96.63
458,458,23660.0,262,2018-01-12,97.38
459,459,23670.0,262,2018-01-12,82.48
460,460,23672.0,262,2018-01-12,90.86
461,461,23675.0,262,2018-01-12,98.63
462,462,23678.0,262,2018-01-12,95.07
463,463,23682.0,262,2018-01-12,81.44
464,464,23686.0,262,2018-01-12,96.55
465,465,23855.0,262,2018-01-12,81.66
466,466,23807.0,262,2018-01-12,72.02
467,467,23815.0,262,2018-01-12,85.11
468,468,25000.0,262,2018-01-12,97.53
469,469,25001.0,262,2018-01-12,98.67
470,470,25019.0,262,2018-01-12,99.19
471,471,25035.0,262,2018-01-12,99.1
472,472,25040.0,262,2018-01-12,97.71
473,473,25053.0,262,2018-01-12,99.3
474,474,25086.0,262,2018-01-12,89.58
475,475,25095.0,262,2018-01-12,97.35
476,476,25099.0,262,2018-01-12,99.39
477,477,25120.0,262,2018-01-12,98.26
478,478,25123.0,262,2018-01-12,99.06
479,479,25126.0,262,2018-01-12,99.61
480,480,25148.0,262,2018-01-12,96.65
481,481,25151.0,262,2018-01-12,90.49
482,482,25154.0,262,2018-01-12,97.54
483,483,25168.0,262,2018-01-12,98.49
484,484,25175.0,262,2018-01-12,99.57
485,485,25178.0,262,2018-01-12,97.77
486,486,25181.0,262,2018-01-12,97.27
487,487,25183.0,262,2018-01-12,97.21
488,488,25200.0,262,2018-01-12,99.41
489,489,25214.0,262,2018-01-12,99.67
490,490,25224.0,262,2018-01-12,98.35
491,491,25245.0,262,2018-01-12,98.65
492,492,25258.0,262,2018-01-12,91.48
493,493,25260.0,262,2018-01-12,99.69
494,494,25269.0,262,2018-01-12,99.32
495,495,25279.0,262,2018-01-12,93.83
496,496,25281.0,262,2018-01-12,95.5
497,497,25286.0,262,2018-01-12,99.35
498,498,25288.0,262,2018-01-12,98.18
499,499,25290.0,262,2018-01-12,98.92
500,500,25293.0,262,2018-01-12,98.78
501,501,25295.0,262,2018-01-12,99.58
502,502,25297.0,262,2018-01-12,97.86
503,503,25299.0,262,2018-01-12,97.98
504,504,25307.0,262,2018-01-12,98.76
505,505,25312.0,262,2018-01-12,99.65
506,506,25317.0,262,2018-01-12,98.71
507,507,25320.0,262,2018-01-12,98.4
508,508,25322.0,262,2018-01-12,98.49
509,509,25324.0,262,2018-01-12,99.2
510,510,25326.0,262,2018-01-12,97.21
511,511,25328.0,262,2018-01-12,98.27
512,512,25335.0,262,2018-01-12,92.52
513,513,25339.0,262,2018-01-12,99.08
514,514,25368.0,262,2018-01-12,98.58
515,515,25372.0,262,2018-01-12,99.0
516,516,25377.0,262,2018-01-12,99.33
517,517,25386.0,262,2018-01-12,99.14
518,518,25394.0,262,2018-01-12,95.33
519,519,25398.0,262,2018-01-12,97.03
520,520,25402.0,262,2018-01-12,97.26
521,521,25407.0,262,2018-01-12,96.74
522,522,25426.0,262,2018-01-12,94.95
523,523,25430.0,262,2018-01-12,99.73
524,524,25436.0,262,2018-01-12,93.96
525,525,25438.0,262,2018-01-12,77.67
526,526,25473.0,262,2018-01-12,99.23
527,527,25483.0,262,2018-01-12,98.12
528,528,25486.0,262,2018-01-12,98.94
529,529,25488.0,262,2018-01-12,98.8
530,530,25489.0,262,2018-01-12,97.95
531,531,25491.0,262,2018-01-12,98.34
532,532,25506.0,262,2018-01-12,97.51
533,533,25513.0,262,2018-01-12,93.31
534,534,25518.0,262,2018-01-12,78.5
535,535,25524.0,262,2018-01-12,98.38
536,536,25530.0,262,2018-01-12,88.99
537,537,25535.0,262,2018-01-12,97.27
538,538,25572.0,262,2018-01-12,93.93
539,539,25580.0,262,2018-01-12,99.04
540,540,25592.0,262,2018-01-12,97.44
541,541,25594.0,262,2018-01-12,94.81
542,542,25596.0,262,2018-01-12,99.04
543,543,25599.0,262,2018-01-12,97.3
544,544,25612.0,262,2018-01-12,95.96
545,545,25645.0,262,2018-01-12,98.11
546,546,25649.0,262,2018-01-12,98.87
